,ndims,niter,popsize,alpha_max,beta_max,angle_adjuster,coef,y
200,5.0,10.0,50.0,30.0,60.0,,0.99,42.243792395095795
201,5.0,50.0,50.0,30.0,60.0,,0.99,16.81163652206734
202,5.0,100.0,50.0,30.0,60.0,,0.99,18.49797370719034
203,5.0,10.0,50.0,30.0,60.0,,0.99,38.032815638845264
204,5.0,50.0,50.0,30.0,60.0,,0.99,29.04339565877944
205,5.0,100.0,50.0,30.0,60.0,,0.99,15.504664734624384
206,5.0,10.0,50.0,30.0,60.0,,0.99,30.77083750185568
207,5.0,50.0,50.0,30.0,60.0,,0.99,23.9834109103322
208,5.0,100.0,100.0,30.0,60.0,,0.99,15.005009587453173
209,5.0,10.0,100.0,30.0,60.0,,0.99,27.846510983243498
210,5.0,50.0,100.0,30.0,60.0,,0.99,15.005009587453173
211,5.0,100.0,100.0,30.0,60.0,,0.99,15.91519974496893
212,5.0,10.0,100.0,30.0,60.0,,0.99,29.646538470940495
213,5.0,50.0,100.0,30.0,60.0,,0.99,21.387967279366926
214,5.0,100.0,100.0,30.0,60.0,,0.99,15.264497957783774
215,5.0,10.0,100.0,30.0,60.0,,0.99,22.9446618553189
216,5.0,50.0,100.0,30.0,60.0,,0.99,15.264497957783774
217,5.0,100.0,20.0,30.0,90.0,linear,0.99,26.177461418704482
218,5.0,10.0,20.0,30.0,90.0,linear,0.99,34.806333204511446
219,5.0,50.0,20.0,30.0,90.0,linear,0.99,26.177461418704482
220,5.0,100.0,20.0,30.0,90.0,linear,0.99,13.280983541549588
221,5.0,10.0,20.0,30.0,90.0,linear,0.99,13.280983541549588
222,5.0,50.0,20.0,30.0,90.0,linear,0.99,13.280983541549588
223,5.0,100.0,20.0,30.0,90.0,linear,0.99,22.17170832820199
224,5.0,10.0,20.0,30.0,90.0,linear,0.99,38.212325305081194
225,5.0,50.0,20.0,30.0,90.0,linear,0.99,22.17170832820199
226,5.0,100.0,50.0,30.0,90.0,linear,0.99,22.796763935589485
227,5.0,10.0,50.0,30.0,90.0,linear,0.99,32.77030240709826
228,5.0,50.0,50.0,30.0,90.0,linear,0.99,22.796763935589485
229,5.0,100.0,50.0,30.0,90.0,linear,0.99,25.55582320891283
230,5.0,10.0,50.0,30.0,90.0,linear,0.99,36.69871791231016
231,5.0,50.0,50.0,30.0,90.0,linear,0.99,25.55582320891283
232,5.0,100.0,50.0,30.0,90.0,linear,0.99,8.08246618411789
233,5.0,10.0,50.0,30.0,90.0,linear,0.99,24.595080163623695
234,5.0,50.0,50.0,30.0,90.0,linear,0.99,8.08246618411789
235,5.0,100.0,100.0,30.0,90.0,linear,0.99,19.72944689797683
236,5.0,10.0,100.0,30.0,90.0,linear,0.99,29.718275935049746
237,5.0,50.0,100.0,30.0,90.0,linear,0.99,24.967318336936245
238,5.0,100.0,100.0,30.0,90.0,linear,0.99,17.13440410623332
239,5.0,10.0,100.0,30.0,90.0,linear,0.99,38.17956372087997
240,5.0,50.0,100.0,30.0,90.0,linear,0.99,17.13440410623332
241,5.0,100.0,100.0,30.0,90.0,linear,0.99,6.062426043862089
242,5.0,10.0,100.0,30.0,90.0,linear,0.99,6.062426043862089
243,5.0,50.0,100.0,30.0,90.0,linear,0.99,6.062426043862089
244,5.0,100.0,20.0,30.0,90.0,geometric,0.99,12.531416591186016
245,5.0,10.0,20.0,30.0,90.0,geometric,0.99,12.531416591186016
246,5.0,50.0,20.0,30.0,90.0,geometric,0.99,12.531416591186016
247,5.0,100.0,20.0,30.0,90.0,geometric,0.99,26.547940432656443
248,5.0,10.0,20.0,30.0,90.0,geometric,0.99,29.313416729324864
249,5.0,50.0,20.0,30.0,90.0,geometric,0.99,27.342420506372264
250,5.0,100.0,20.0,30.0,90.0,geometric,0.99,15.719401358303912
251,5.0,10.0,20.0,30.0,90.0,geometric,0.99,41.56066691296051
252,5.0,50.0,20.0,30.0,90.0,geometric,0.99,18.4787671403559
253,5.0,100.0,50.0,30.0,90.0,geometric,0.99,18.81425292614472
254,5.0,10.0,50.0,30.0,90.0,geometric,0.99,35.77583220270789
255,5.0,50.0,50.0,30.0,90.0,geometric,0.99,18.81425292614472
256,5.0,100.0,50.0,30.0,90.0,geometric,0.99,24.164073861986644
257,5.0,10.0,50.0,30.0,90.0,geometric,0.99,33.38657660987415
258,5.0,50.0,50.0,30.0,90.0,geometric,0.99,33.38657660987415
259,5.0,100.0,50.0,30.0,90.0,geometric,0.99,18.86988766727633
260,5.0,10.0,50.0,30.0,90.0,geometric,0.99,23.322835994310175
261,5.0,50.0,50.0,30.0,90.0,geometric,0.99,18.86988766727633
262,5.0,100.0,100.0,30.0,90.0,geometric,0.99,14.772742871557277
263,5.0,10.0,100.0,30.0,90.0,geometric,0.99,26.928033071438612
264,5.0,50.0,100.0,30.0,90.0,geometric,0.99,14.772742871557277
265,5.0,100.0,100.0,30.0,90.0,geometric,0.99,18.776126936678452
266,5.0,10.0,100.0,30.0,90.0,geometric,0.99,23.183018822382905
267,5.0,50.0,100.0,30.0,90.0,geometric,0.99,18.776126936678452
268,5.0,100.0,100.0,30.0,90.0,geometric,0.99,6.045082924097358
269,5.0,10.0,100.0,30.0,90.0,geometric,0.99,20.911803597123118
270,5.0,50.0,100.0,30.0,90.0,geometric,0.99,6.045082924097358
271,5.0,100.0,20.0,30.0,90.0,exponential,0.99,8.937033456914094
272,5.0,10.0,20.0,30.0,90.0,exponential,0.99,27.05485228957422
273,5.0,50.0,20.0,30.0,90.0,exponential,0.99,18.072877945427166
274,5.0,100.0,20.0,30.0,90.0,exponential,0.99,11.254381951818658
275,5.0,10.0,20.0,30.0,90.0,exponential,0.99,33.444854059224
276,5.0,50.0,20.0,30.0,90.0,exponential,0.99,22.530365155750367
277,5.0,100.0,20.0,30.0,90.0,exponential,0.99,7.259299350368806
278,5.0,10.0,20.0,30.0,90.0,exponential,0.99,26.917108754014823
279,5.0,50.0,20.0,30.0,90.0,exponential,0.99,23.435778587477166
280,5.0,100.0,50.0,30.0,90.0,exponential,0.99,13.887261779967176
281,5.0,10.0,50.0,30.0,90.0,exponential,0.99,20.844228770508085
282,5.0,50.0,50.0,30.0,90.0,exponential,0.99,19.83884789938661
283,5.0,100.0,50.0,30.0,90.0,exponential,0.99,11.422052838054839
284,5.0,10.0,50.0,30.0,90.0,exponential,0.99,26.49618441439478
285,5.0,50.0,50.0,30.0,90.0,exponential,0.99,11.422052838054839
286,5.0,100.0,50.0,30.0,90.0,exponential,0.99,7.276633355732308
287,5.0,10.0,50.0,30.0,90.0,exponential,0.99,29.315125261305187
288,5.0,50.0,50.0,30.0,90.0,exponential,0.99,14.357878911089884
289,5.0,100.0,100.0,30.0,90.0,exponential,0.99,3.1271360629919727
290,5.0,10.0,100.0,30.0,90.0,exponential,0.99,9.45963852423882
291,5.0,50.0,100.0,30.0,90.0,exponential,0.99,9.45963852423882
292,5.0,100.0,100.0,30.0,90.0,exponential,0.99,3.3627360420798738
293,5.0,10.0,100.0,30.0,90.0,exponential,0.99,22.261774695298783
294,5.0,50.0,100.0,30.0,90.0,exponential,0.99,12.107093529293188
295,5.0,100.0,100.0,30.0,90.0,exponential,0.99,6.738739928355258
296,5.0,10.0,100.0,30.0,90.0,exponential,0.99,28.819384100528502
297,5.0,50.0,100.0,30.0,90.0,exponential,0.99,6.796533449183244
298,5.0,100.0,20.0,30.0,90.0,,0.99,3.201878128151378
299,5.0,10.0,20.0,30.0,90.0,,0.99,36.428106751657765
300,5.0,50.0,20.0,30.0,90.0,,0.99,11.538521055693707
301,5.0,100.0,20.0,30.0,90.0,,0.99,15.07939920988251
302,5.0,10.0,20.0,30.0,90.0,,0.99,38.08702128240135
303,5.0,50.0,20.0,30.0,90.0,,0.99,16.442122829947884
304,5.0,100.0,20.0,30.0,90.0,,0.99,11.274526090128447
305,5.0,10.0,20.0,30.0,90.0,,0.99,32.928973389117346
306,5.0,50.0,20.0,30.0,90.0,,0.99,24.19533536469257
307,5.0,100.0,50.0,30.0,90.0,,0.99,5.607636524570275
308,5.0,10.0,50.0,30.0,90.0,,0.99,35.74485241437994
309,5.0,50.0,50.0,30.0,90.0,,0.99,12.544910492002927
310,5.0,100.0,50.0,30.0,90.0,,0.99,1.4082838995707618
311,5.0,10.0,50.0,30.0,90.0,,0.99,14.908460907152758
312,5.0,50.0,50.0,30.0,90.0,,0.99,12.493379922855674
313,5.0,100.0,50.0,30.0,90.0,,0.99,4.1553465409413235
314,5.0,10.0,50.0,30.0,90.0,,0.99,20.841426801658997
315,5.0,50.0,50.0,30.0,90.0,,0.99,6.362841848525058
316,5.0,100.0,100.0,30.0,90.0,,0.99,2.3940354315563894
317,5.0,10.0,100.0,30.0,90.0,,0.99,22.08199328736237
318,5.0,50.0,100.0,30.0,90.0,,0.99,12.940536331834593
319,5.0,100.0,100.0,30.0,90.0,,0.99,1.1471776622813366
320,5.0,10.0,100.0,30.0,90.0,,0.99,31.879871399803534
321,5.0,50.0,100.0,30.0,90.0,,0.99,9.224497323025126
322,5.0,100.0,100.0,30.0,90.0,,0.99,2.7246050039555314
323,5.0,10.0,100.0,30.0,90.0,,0.99,25.38215633108629
324,5.0,50.0,100.0,30.0,90.0,,0.99,11.580664629405888
325,5.0,100.0,20.0,30.0,120.0,linear,0.99,19.73600488028186
